tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt4633694,Spider-Man: Into the Spider-Verse,2018,"[""Animation"", ""Action"", ""Adventure""]","[""nm4271336"", ""nm2159926"", ""nm2794962""]",117,8.4,English,United States,777014,,190.24,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
tt2380307,Coco,2017,"[""Animation"", ""Adventure"", ""Drama""]","[""nm5645519"", ""nm0305558"", ""nm0000973""]",105,8.4,English,United States,704092,175.0,814.3,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
tt5311514,Your Name.,2016,"[""Animation"", ""Drama"", ""Fantasy""]","[""nm1126340"", ""nm4759838"", ""nm6954008""]",106,8.4,Japanese,Japan,385171,,5.02,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
tt0993846,The Wolf of Wall Street,2013,"[""Biography"", ""Comedy"", ""Crime""]","[""nm0000138"", ""nm1706767"", ""nm3053338""]",180,8.2,English,United States,1781432,100.0,407.0,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
tt1130884,Shutter Island,2010,"[""Drama"", ""Mystery"", ""Thriller""]","[""nm0000138"", ""nm0607865"", ""nm0749263""]",138,8.2,English,United States,1641055,80.0,294.8,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.
tt0361748,Inglourious Basterds,2009,"[""Adventure"", ""Drama"", ""War""]","[""nm0000093"", ""nm1208167"", ""nm0744834""]",153,8.4,English,United States,1778290,,120.54,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
tt0082971,Raiders of the Lost Ark,1981,"[""Action"", ""Adventure""]","[""nm0000148"", ""nm0000261"", ""nm0293550""]",115,8.4,English,United States,1102713,,248.16,"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first."
tt0081505,The Shining,1980,"[""Drama"", ""Horror""]","[""nm0000197"", ""nm0001167"", ""nm0515950""]",146,8.4,English,United Kingdom,1216349,19.0,50.0,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future."
tt0103064,Terminator 2: Judgment Day,1991,"[""Action"", ""Adventure"", ""Sci-Fi""]","[""nm0000216"", ""nm0000157"", ""nm0000411""]",137,8.6,English,United States,1276343,,205.88,"A cyborg from the future, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from an even more advanced and powerful cyborg."
tt0112573,Braveheart,1995,"[""Biography"", ""Drama"", ""War""]","[""nm0000154"", ""nm0000521"", ""nm0001526""]",178,8.3,English,United States,1155463,53.0,209.0,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
tt0268978,A Beautiful Mind,2002,"[""Biography"", ""Drama"", ""Mystery""]","[""nm0000128"", ""nm0000438"", ""nm0000124""]",135,8.2,English,United States,1052138,58.0,316.8,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But Nash soon found himself on a harrowing journey of self-discovery."
tt0266543,Finding Nemo,2003,"[""Animation"", ""Adventure"", ""Comedy""]","[""nm0000983"", ""nm0001122"", ""nm1071252""]",100,8.2,English,United States,1196544,,380.84,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
tt0435761,Toy Story 3,2010,"[""Animation"", ""Adventure"", ""Comedy""]","[""nm0000158"", ""nm0021110""]",103,8.3,English,United States,961588,200.0,1067.0,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
tt1049413,Up,2009,"[""Animation"", ""Adventure"", ""Comedy""]","[""nm0000799"", ""nm2973712"", ""nm0001652""]",96,8.3,English,United States,1225827,175.0,735.1,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway."
tt2096673,Inside Out,2015,"[""Animation"", ""Adventure"", ""Comedy""]","[""nm0688132"", ""nm0352778"", ""nm0085400""]",95,8.1,English,United States,905131,175.0,858.8,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions, Joy, Fear, Anger, Disgust, and Sadness, conflict on how best to navigate a new city, house, and school."
tt0114709,Toy Story,1995,"[""Animation"", ""Adventure"", ""Comedy""]","[""nm0000158"", ""nm0021110"", ""nm0725543""]",81,8.3,English,United States,1163069,30.0,401.2,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him."
tt2278388,The Grand Budapest Hotel,2014,"[""Comedy"", ""Drama""]","[""nm0000146"", ""nm0000719"", ""nm0023832""]",99,8.1,English,United States,968286,25.0,174.6,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
tt6966692,Green Book,2018,"[""Biography"", ""Comedy"", ""Drama""]","[""nm0001557"", ""nm0991810"", ""nm0004802""]",130,8.2,English,United States,682124,23.0,321.8,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
tt8579674,1917,2019,"[""Action"", ""Drama"", ""War""]","[""nm2835616"", ""nm1126657"", ""nm0990547""]",119,8.2,English,United Kingdom,762191,90.0,446.1,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
tt8267604,Capernaum,2018,"[""Drama""]","[""nm9862858"", ""nm9862859""]",126,8.4,Levantine Arabic,Lebanon,122730,,1.66,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
tt8503618,Hamilton,2020,"[""Biography"", ""Drama"", ""History""]","[""nm0592135"", ""nm5623883"", ""nm1502434""]",160,8.3,English,United States,136884,12.5,21.0,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
tt1392190,Mad Max: Fury Road,2015,"[""Action"", ""Adventure"", ""Sci-Fi""]","[""nm0362766"", ""nm0000234"", ""nm0396558""]",120,8.1,English,Australia,1198396,154.6,380.4,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max."
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,"[""Action"", ""Adventure"", ""Sci-Fi""]","[""nm5397459"", ""nm3915784"", ""nm1209966""]",138,7.7,English,United States,1018738,,2071.0,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
tt3659388,The Martian,2015,"[""Adventure"", ""Drama"", ""Sci-Fi""]","[""nm0000354"", ""nm1567113"", ""nm1325419""]",144,8.0,English,United States,999128,108.0,630.6,"An astronaut becomes stranded on Mars after his team assumes him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
tt3896198,Guardians of the Galaxy Vol. 2,2017,"[""Action"", ""Adventure"", ""Comedy""]","[""nm0695435"", ""nm0757855"", ""nm1176985""]",136,7.6,English,United States,823054,200.0,869.1,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego."
